,Name,Team,HR,Projected_HR,Difference
0,Aaron Judge,NYY,58,50.0,-8.0
1,Shohei Ohtani,LAD,54,43.0,-11.0
2,Bobby Witt Jr.,KCR,32,39.0,7.0
3,Yordan Alvarez,HOU,35,38.0,3.0
4,Brent Rooker,OAK,39,38.0,-1.0
5,Juan Soto,NYY,41,37.0,-4.0
6,Jose Ramirez,CLE,39,36.0,-3.0
7,Marcell Ozuna,ATL,39,35.0,-4.0
8,Anthony Santander,BAL,44,34.0,-10.0
9,Vladimir Guerrero Jr.,TOR,30,33.0,3.0
10,Francisco Lindor,NYM,33,33.0,0.0
11,Gunnar Henderson,BAL,37,32.0,-5.0
12,Willy Adames,MIL,32,31.0,-1.0
13,Mookie Betts,LAD,19,31.0,12.0
14,Jose Altuve,HOU,20,30.0,10.0
15,Bryce Harper,PHI,30,30.0,0.0
16,Pete Alonso,NYM,34,29.0,-5.0
17,Freddie Freeman,LAD,22,29.0,7.0
18,Kyle Schwarber,PHI,38,29.0,-9.0
19,Isaac Paredes,- - -,19,29.0,10.0
20,Eugenio Suarez,ARI,30,29.0,-1.0
21,Alex Bregman,HOU,26,29.0,3.0
22,Seiya Suzuki,CHC,21,29.0,8.0
23,Jurickson Profar,SDP,24,29.0,5.0
24,Salvador Perez,KCR,27,28.0,1.0
25,Matt Olson,ATL,29,28.0,-1.0
26,Jarren Duran,BOS,21,28.0,7.0
27,Cal Raleigh,SEA,34,28.0,-6.0
28,J.J. Bleday,OAK,20,28.0,8.0
29,Teoscar Hernandez,LAD,33,27.0,-6.0
30,Ketel Marte,ARI,36,27.0,-9.0
31,Matt Chapman,SFG,27,27.0,0.0
32,Manny Machado,SDP,29,27.0,-2.0
33,Corey Seager,TEX,30,27.0,-3.0
34,Marcus Semien,TEX,23,27.0,4.0
35,Jackson Merrill,SDP,24,27.0,3.0
36,Ian Happ,CHC,25,26.0,1.0
37,Rafael Devers,BOS,28,26.0,-2.0
38,Ezequiel Tovar,COL,26,26.0,0.0
39,Taylor Ward,LAA,25,26.0,1.0
40,Adley Rutschman,BAL,19,25.0,6.0
